item,item_idx
$0.50 Juice,0
$1.00 WATER 16.9oz,1
$1.25 CHIPS,2
"$1.25 CHIPS 1,011",3
$1.25 POPCORN,4
$1PRETZEL,5
ALC $1 YOGURT OZ,6
ALC BREAKFAST ENTREE,7
ALC HARD BOILED EGG,8
ALC LUNCH ENTREE ELEMENTARY,9
ALC LUNCH ENTREE SECONDARY,10
ALC MILK,11
ALC VEGETABLE/FRUIT,12
ALCJUICE 4OZ $.75,13
ALFREDO LASAGNA-ES,14
ALFREDO LASAGNA-SECONDA RY,15
ASIAN BEEF MEATBALL SUB-ES,16
ASIAN BEEF MEATBALL SUB-SECONDARY,17
ASIAN VEGGIE SUB-ES,18
ASIAN VEGGIE SUB-SECONDARY,19
BAGEL W/CREAM CHEESE,20
BBQ BEEF RIB SECONDARY,21
BBQ CHICKEN DRUMSTICK ELEMENTARY,22
BBQ CHICKEN DRUMSTICK SECONDARY,23
BBQ CHICKEN SANDWICH ELEMENTARY,24
BBQ CHICKEN SANDWICH SECONDARY,25
BEAN & CHEESE PUPUSA SECONDARY,26
BEAN & CHEESE PUPUSA-ES,27
BISCUIT & JELLY,28
BLUEBERRY BREAD W/ STRING CHEESE,29
BLUEBERRY MUFFIN W/ STRING CHEESE,30
BREADED CHICKENLESS BITES ELEMENTARY,31
BURKE ALC MEAL,32
CENTER BREAKFAST PUREED,33
CENTER LUNCH - PUREED,34
CEREAL MEAL,35
CEREAL/ NO MILK,36
CHANA MASALA SECONDARY,37
CHANA MASALA W/ RICE,38
CHEESE PIZZA ELEMENTARY,39
CHEESE PIZZA SECONDARY,40
CHEESE QUESADILLA ELEMENTARY,41
CHEESE QUESADILLA SECONDARY,42
CHEESE STICKS W/MARINARA SECONDARY,43
CHEESE STIX -1 ELEMENTARY,44
CHEESE STIX ELEMENTARY,45
CHEESEBURGER ELEMENTARY,46
CHEESEBURGER SECONDARY,47
CHEEZ-IT,48
CHICKEN & CHEESE QUESADILLA SECONDARY,49
CHICKEN DUMPLING SECONDARY,50
CHICKEN DUMPLINGS ELEMENTARY,51
CHICKEN ON BUN SECONDARY,52
CHICKEN PHILLY SUB-ES,53
CHICKEN PHILLY SUB-SECONDARY,54
CHICKEN QUESADILLA ELEMENTARY,55
CHICKEN TENDER ON BISCUIT,56
"CHICKEN TENDERS 1,019 SECONDARY",57
"CHICKEN TENDERS 1,043 SECONDARY",58
"CHICKEN TENDERS 1,083 SECONDARY",59
"CHICKEN TENDERS 1,086 SECONDARY",60
"CHICKEN TENDERS 1,092 SECONDARY",61
"CHICKEN TENDERS 1,121 SECONDARY",62
"CHICKEN TENDERS 1,273 SECONDARY",63
CHICKEN TENDERS ELEMENTARY,64
CHICKEN TENDERS SECONDARY,65
CHICKEN TIKKA MASALA SECONDARY,66
CHICKEN TIKKA MASALA W/ RICE,67
CHICKENLESS BITE W/ MAPLEL WAFFLE SECONDARY,68
CHICKENLESS BITES W/ ORANGE SAUCE W/RICE,69
COOKIE,70
EGG & CHEESE ON BISCUIT,71
ELEMENTARY,72
FASTING BREAKFAST,73
FASTING LUNCH - SECONDARY,74
FASTING LUNCH-ELEMENTAR Y,75
FIELD TRIP LUNCH ELEMENTARY,76
FIELD TRIP LUNCH SECONDARY,77
FISH FILLET SANDWISH-SECON DARY,78
FISH TACO ON TORTILLA-SECONDA RY,79
FISH TACOS ON TORTILLA-ES,80
FISH W/ ROLL-SECONDARY,81
FRUIT SNACKS,82
GRILLED CHEESE SANDWICH ELEMENTARY,83
GRILLED CHEESE SANDWICH SECONDARY,84
HAMBURGER SECONDARY,85
HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,86
HOT TURKEY AND CHEESE SANDWICH SECONDARY,87
IZZE DRINK - $1.50,88
KINDERGARTEN PIN USE TRAINING,89
LACTOSE FREE MILK,90
MANAGER'S CHOICE,91
MANAGERS CHOICE,92
MANDARIN PARFAIT,93
MEATBALL SUB ELEM,94
MEATBALL SUB SECONDARY,95
MGR CHOICE SECONDARY,96
MINI CHEESE CALZONE SECONDARY,97
MINI PANCAKES,98
NACHO W/ BLACK BEANS&CHEESE SAUCE ELEMENTARY,99
NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,100
NACHOS W/ CHEESE ELEMENTARY,101
NACHOS W/ TURKEY BARBACOA & CHEESE SAUCE ES,102
NACHOS W/CHEESE-SECON DARY,103
NACHOS W/TACO MEAT&CHEESE-SEC ONDARY,104
NACHOS W/TACO MEAT/CHEESE SAUCE ELEMENTARY,105
NACHOS W/TURKEY BARBACOA&CHEES E SECONDARY,106
NUTRIGRAIN BARS -,107
No Charge A La Carte Promotion,108
ORANGE CHICKEN ELEMENTARY,109
ORANGE CHICKEN SECONDARY,110
ORANGE CHICKENLESS BITE SECONDARY,111
PARFAIT,112
PARFAIT POWER PACK ELEMENTARY,113
PARFAIT POWER PACK SECONDARY,114
PASTA W/ MEATBALLS ELEMENTARY,115
PASTA W/MEAT SAUCE SECONDARY,116
PASTA W/MEATBALLS SECODNARY,117
PBJ MEAL SECONDARY,118
PBJ POWER PACK ELEMENTARY,119
PBJ POWER PACK SECONDARY,120
PEPPERONI PIZZA ELEMENTARY,121
PEPPERONI PIZZA SECONDARY,122
PINEAPPLE PARFAIT,123
PREK EVENT STUDENT LUNCH,124
PREK FAMILY EVENT ADULT BREAKFAST CHARGED FROM FSO,125
PREK FAMILY EVENT ADULT LUNCH,126
PREK FAMILY EVENT ALC,127
PREK FAMILY EVENT STUDENT BREAKFAST,128
PRESCHOOL LUNCH,129
PUMPKIN BREAD W/ STRING CHEESE,130
SALAD BAR ELEMENTARY,131
SALAD BAR SECONDARY,132
SANDWICH (SEC),133
SIMPLY CHEX,134
SPECIAL DIET MEAL ELEMENTARY,135
SPECIAL DIET MEAL SECONDARY,136
SPICY CHICKEN ON BUN SECONDARY,137
SPICY CHICKEN WRAP SECONDARY,138
STRAWBERRY PARFAIT,139
STRING CHEESE,140
TACO BEEF AREPAS-ES,141
THANKSGIVING ADULT LUNCH ELEMENTARY,142
THANKSGIVING ADULT LUNCH SECONDARY,143
THANKSGIVING LUNCH ELEMENTARY,144
THANKSGIVING LUNCH SECONDARY,145
TRIPLE BERRY PARFAIT,146
TURKEY & CHEESE ON BISCUIT,147
TURKEY BARBACOA AREPAS W/ CHEESE ES,148
TURKEY BARBACOA AREPAS W/ CHEESE SECONDARY,149
TURKEY BARBACOA QUESADILLA ES,150
TURKEY BARBACOA QUESADILLA SECONDARY,151
TURKEY SAUSAGE ON BISCUIT,152
VEGAN BURGER ELEMENTARY,153
VEGAN BURGER SECONDARY,154
VEGGIE DUMPLINGS ELEMENTARY,155
VEGGIE DUMPLINGS SECONDARY,156
WAFFLES BREAKFAST,157
YOGURT POWER PACK ELEMENTARY,158
YOGURT POWER PACK SECONDARY,159
