description,total
COOKIE,741935
CEREAL MEAL,573659
$1.25 CHIPS,485352
MINI PANCAKES,471214
PBJ POWER PACK ELEMENTARY,469482
CHEESE PIZZA ELEMENTARY,293071
$1.00 WATER 16.9oz,283261
CHICKEN TENDERS SECONDARY,279564
ALC LUNCH ENTREE SECONDARY,242260
ALCJUICE 4OZ $.75,234354
SPICY CHICKEN ON BUN SECONDARY,233421
YOGURT POWER PACK ELEMENTARY,228508
PBJ POWER PACK SECONDARY,225054
PEPPERONI PIZZA ELEMENTARY,205861
CHICKEN TENDERS ELEMENTARY,197570
BAGEL W/CREAM CHEESE,186523
$1.25 POPCORN,153818
CHEESE STICKS W/MARINARA SECONDARY,145540
$1PRETZEL,142082
CHEESE PIZZA SECONDARY,127824
CHEESEBURGER ELEMENTARY,112668
CHEESE STIX ELEMENTARY,111739
PUMPKIN BREAD W/ STRING CHEESE,108913
ALC LUNCH ENTREE ELEMENTARY,105456
NACHOS W/ CHEESE ELEMENTARY,95578
